ladder,rung,gamma,k
spin,1,1.4642357788089577,0.553179496972924
spin,1,2.3793399007964107,0.13835889844445387
spin,1,0.5820998422157241,0.9176550214204259
spin,1,1.92610288961257,0.3260611017762638
spin,1,1.3948638591262021,0.5875131437137048
spin,1,1.2201824245281272,0.6717372129210064
spin,1,1.2770675989056668,0.6447616298175738
spin,1,0.6149239119426742,0.9084086720947939
spin,1,2.410567918518591,0.1277546767427531
spin,1,0.08461228739711117,0.9982112577569341
spin,1,1.7939144416324768,0.38936424120826774
spin,1,0.543457508518098,0.9279629643293404
spin,1,1.246460095800492,0.6593398471904266
spin,1,2.7498700510495278,0.03787361280848624
spin,1,2.07242507128296,0.2595728700896117
spin,1,1.5966328410300854,0.4870831800453753
spin,1,0.17868417133226716,0.9920392066246831
spin,1,1.7674829598033768,0.40228953702324843
spin,1,1.1731695981949852,0.6936156599815486
spin,1,1.1363299685166655,0.7104631988477852
spin,1,1.856483682172963,0.359091493288014
spin,1,2.647746659413925,0.05974184346665499
spin,1,1.976282813052251,0.30276707779376105
spin,1,1.0826458929523783,0.7344965755630231
spin,1,1.951956293823674,0.31400128000580274
spin,1,0.5255745529721723,0.9325179126953679
spin,1,0.7903783815319069,0.8517882403567808
spin,1,1.2202354335557772,0.67171232064672
spin,1,1.7847100581429585,0.39385697809700504
spin,1,2.558659676273952,0.0825741436638082
spin,1,2.5083938254468063,0.09693059768684092
spin,1,2.5932943804098088,0.07329362094770804
spin,1,2.2182100778767473,0.19843724339027535
spin,1,0.8828186453966944,0.8174880882383601
spin,1,1.8678982524226413,0.35362483333549644
spin,1,0.5914504385365944,0.9150664189302624
spin,1,0.4176763806390533,0.9570169772830497
spin,1,2.026223632687261,0.2800769470481941
spin,1,0.6151591057478576,0.9083408195729383
spin,1,2.4138026281097598,0.12667682683186038
spin,1,2.6678872294110825,0.05505798222044155
spin,1,2.6991246177511945,0.0481511625441774
spin,1,2.4929922058043386,0.10153499570805022
spin,1,2.1762148296416277,0.21544687704482915
spin,1,2.448334659473026,0.11541595446528641
spin,1,1.4365740033184753,0.5669098348418737
spin,1,0.9406554562075728,0.7946292897029573
spin,1,1.5456016344970747,0.512596013449683
spin,1,2.1245233290264647,0.2370695239151167
spin,1,1.0984342767194246,0.7274954744869956
spin,1,1.3057701731962048,0.6309672543509578
spin,1,1.2837123865625368,0.6415783584345844
spin,1,0.5850223438610773,0.9168498737063191
spin,1,0.6292270222823525,0.9042413313205778
spin,1,1.7584865594469798,0.40670490405386467
spin,1,1.0316993773822971,0.7566806138954171
