experiment,target,representation,model,encoding,n_uploads,n_qubits,n_layers,n_params,n_train,rotation_id,polar_angle,seed,stepsize,train_acc,test_acc,balanced_acc,majority,ceiling,final_loss,wall_time
ladder-spin,banded_4,bloch,VQC,broadcast,1,4,2,24,300,,,2000,,0.79,0.76,0.7540064102564102,0.5233333333333333,,,7.441157579421997
ladder-spin,banded_4,bloch,VQC,broadcast,1,4,2,24,300,,,2001,,0.7466666666666667,0.75,0.7501000400160064,0.51,,,7.556434392929077
ladder-spin,banded_4,bloch,VQC,broadcast,1,4,2,24,300,,,2002,,0.75,0.73,0.7199919710959455,0.5266666666666666,,,7.418699502944946
ladder-reupload-fixed_budget,latitude_bands,bloch,VQC,spherical,1,1,8,24,300,,,2000,,0.98,0.98,0.98,0.5,,,4.193130731582642
ladder-reupload-fixed_budget,latitude_bands,bloch,VQC,spherical,1,1,8,24,300,,,2001,,0.9733333333333334,0.99,0.99,0.5,,,4.485867977142334
ladder-reupload-fixed_budget,latitude_bands,bloch,VQC,spherical,1,1,8,24,300,,,2002,,0.9833333333333333,0.99,0.99,0.5,,,4.4889960289001465
ladder-reupload-fixed_budget,quadrupole,bloch,VQC,spherical,1,1,8,24,300,,,2000,,0.53,0.57,0.5636288998357963,0.5733333333333333,,,4.321239709854126
ladder-reupload-fixed_budget,quadrupole,bloch,VQC,spherical,1,1,8,24,300,,,2001,,0.5266666666666666,0.46,0.463484292125663,0.5633333333333334,,,4.666619062423706
ladder-reupload-fixed_budget,quadrupole,bloch,VQC,spherical,1,1,8,24,300,,,2002,,0.51,0.47,0.4675697865353038,0.5866666666666667,,,4.4892897605896
ladder-reupload-fixed_budget,banded_4,bloch,VQC,spherical,1,1,8,24,300,,,2000,,0.5833333333333334,0.52,0.5192307692307692,0.5233333333333333,,,4.548771142959595
ladder-reupload-fixed_budget,banded_4,bloch,VQC,spherical,1,1,8,24,300,,,2001,,0.5066666666666667,0.43,0.429171668667467,0.51,,,4.539175987243652
ladder-reupload-fixed_budget,banded_4,bloch,VQC,spherical,1,1,8,24,300,,,2002,,0.54,0.47,0.46989160979526295,0.5266666666666666,,,4.605097532272339
ladder-reupload-fixed_budget,latitude_bands,bloch,VQC,spherical,2,1,4,24,300,,,2000,,0.9366666666666666,0.92,0.9199999999999999,0.5,,,4.913425445556641
ladder-reupload-fixed_budget,latitude_bands,bloch,VQC,spherical,2,1,4,24,300,,,2001,,0.9033333333333333,0.89,0.8899999999999999,0.5,,,5.010162591934204
ladder-reupload-fixed_budget,latitude_bands,bloch,VQC,spherical,2,1,4,24,300,,,2002,,0.93,0.95,0.95,0.5,,,4.729043960571289
ladder-reupload-fixed_budget,quadrupole,bloch,VQC,spherical,2,1,4,24,300,,,2000,,0.7833333333333333,0.62,0.5935960591133005,0.5733333333333333,,,4.838803291320801
ladder-reupload-fixed_budget,quadrupole,bloch,VQC,spherical,2,1,4,24,300,,,2001,,0.61,0.59,0.6146470828233374,0.5633333333333334,,,4.827859401702881
ladder-reupload-fixed_budget,quadrupole,bloch,VQC,spherical,2,1,4,24,300,,,2002,,0.8,0.72,0.6962233169129721,0.5866666666666667,,,4.632457971572876
ladder-reupload-fixed_budget,banded_4,bloch,VQC,spherical,2,1,4,24,300,,,2000,,0.62,0.61,0.6121794871794872,0.5233333333333333,,,4.551520109176636
ladder-reupload-fixed_budget,banded_4,bloch,VQC,spherical,2,1,4,24,300,,,2001,,0.6,0.51,0.511204481792717,0.51,,,4.849756717681885
ladder-reupload-fixed_budget,banded_4,bloch,VQC,spherical,2,1,4,24,300,,,2002,,0.57,0.53,0.5289040545965475,0.5266666666666666,,,4.641907453536987
ladder-reupload-fixed_budget,latitude_bands,bloch,VQC,spherical,3,1,2,18,300,,,2000,,0.9866666666666667,0.99,0.99,0.5,,,4.135291814804077
ladder-reupload-fixed_budget,latitude_bands,bloch,VQC,spherical,3,1,2,18,300,,,2001,,0.98,0.98,0.98,0.5,,,4.273781776428223
ladder-reupload-fixed_budget,latitude_bands,bloch,VQC,spherical,3,1,2,18,300,,,2002,,0.9866666666666667,0.98,0.98,0.5,,,4.531859874725342
ladder-reupload-fixed_budget,quadrupole,bloch,VQC,spherical,3,1,2,18,300,,,2000,,0.7666666666666667,0.7,0.6592775041050903,0.5733333333333333,,,4.260385990142822
ladder-reupload-fixed_budget,quadrupole,bloch,VQC,spherical,3,1,2,18,300,,,2001,,0.8133333333333334,0.71,0.6713586291309669,0.5633333333333334,,,4.371517896652222
ladder-reupload-fixed_budget,quadrupole,bloch,VQC,spherical,3,1,2,18,300,,,2002,,0.6933333333333334,0.74,0.6904761904761905,0.5866666666666667,,,4.102266073226929
ladder-reupload-fixed_budget,banded_4,bloch,VQC,spherical,3,1,2,18,300,,,2000,,0.65,0.63,0.6282051282051282,0.5233333333333333,,,4.525147438049316
ladder-reupload-fixed_budget,banded_4,bloch,VQC,spherical,3,1,2,18,300,,,2001,,0.7233333333333334,0.61,0.6148459383753502,0.51,,,4.371445655822754
ladder-reupload-fixed_budget,banded_4,bloch,VQC,spherical,3,1,2,18,300,,,2002,,0.6766666666666666,0.66,0.669610598153352,0.5266666666666666,,,4.516619920730591
ladder-reupload-fixed_budget,latitude_bands,bloch,VQC,spherical,4,1,2,24,300,,,2000,,0.98,1.0,1.0,0.5,,,5.601223945617676
ladder-reupload-fixed_budget,latitude_bands,bloch,VQC,spherical,4,1,2,24,300,,,2001,,0.98,0.98,0.98,0.5,,,5.7302892208099365
ladder-reupload-fixed_budget,latitude_bands,bloch,VQC,spherical,4,1,2,24,300,,,2002,,0.9866666666666667,0.97,0.97,0.5,,,5.580030202865601
ladder-reupload-fixed_budget,quadrupole,bloch,VQC,spherical,4,1,2,24,300,,,2000,,0.9,0.86,0.8333333333333333,0.5733333333333333,,,5.5665833950042725
ladder-reupload-fixed_budget,quadrupole,bloch,VQC,spherical,4,1,2,24,300,,,2001,,0.9366666666666666,0.91,0.8982048143614851,0.5633333333333334,,,5.445323467254639
ladder-reupload-fixed_budget,quadrupole,bloch,VQC,spherical,4,1,2,24,300,,,2002,,0.9133333333333333,0.88,0.8637110016420362,0.5866666666666667,,,5.820537090301514
ladder-reupload-fixed_budget,banded_4,bloch,VQC,spherical,4,1,2,24,300,,,2000,,0.8733333333333333,0.78,0.7836538461538461,0.5233333333333333,,,5.589039087295532
ladder-reupload-fixed_budget,banded_4,bloch,VQC,spherical,4,1,2,24,300,,,2001,,0.7533333333333333,0.69,0.6916766706682673,0.51,,,5.540154695510864
ladder-reupload-fixed_budget,banded_4,bloch,VQC,spherical,4,1,2,24,300,,,2002,,0.7366666666666667,0.68,0.683661180248896,0.5266666666666666,,,5.32053279876709
