experiment,target,representation,model,encoding,n_uploads,n_qubits,n_layers,n_params,n_train,rotation_id,polar_angle,seed,stepsize,train_acc,test_acc,balanced_acc,majority,ceiling,final_loss,wall_time
falsification,sectoral,bloch,VQC,spherical,1,2,2,12,300,,,2001,0.2,0.5266666666666666,0.53,0.53,0.5033333333333333,0.673749999999981,0.6858278016314169,3.220810890197754
falsification,sectoral,bloch,VQC,spherical,1,2,2,12,300,,,2002,0.2,0.5033333333333333,0.44,0.437374949979992,0.5133333333333333,0.673749999999981,0.6924293803135987,3.22080659866333
falsification,sectoral,bloch,VQC,spherical,1,2,4,24,300,,,2000,0.05,0.5766666666666667,0.51,0.5016057808109193,0.53,0.673749999999981,0.6885783909708122,6.083028316497803
falsification,sectoral,bloch,VQC,spherical,1,2,4,24,300,,,2001,0.05,0.5333333333333333,0.53,0.53,0.5033333333333333,0.673749999999981,0.6858232910882252,5.561288595199585
falsification,sectoral,bloch,VQC,spherical,1,2,4,24,300,,,2002,0.05,0.66,0.57,0.5644257703081232,0.5133333333333333,0.673749999999981,0.6920949847362485,5.631464004516602
falsification,sectoral,bloch,VQC,spherical,1,2,4,24,300,,,2000,0.2,0.5766666666666667,0.51,0.5016057808109193,0.53,0.673749999999981,0.6885783787226636,5.995314359664917
falsification,sectoral,bloch,VQC,spherical,1,2,4,24,300,,,2001,0.2,0.53,0.53,0.53,0.5033333333333333,0.673749999999981,0.6858243488242947,5.823382139205933
falsification,sectoral,bloch,VQC,spherical,1,2,4,24,300,,,2002,0.2,0.66,0.57,0.5644257703081232,0.5133333333333333,0.673749999999981,0.6920949727772381,5.776960372924805
falsification,sectoral,bloch,VQC,spherical,1,2,6,36,300,,,2000,0.05,0.58,0.51,0.5016057808109193,0.53,0.673749999999981,0.6885783789760306,8.74153470993042
falsification,sectoral,bloch,VQC,spherical,1,2,6,36,300,,,2001,0.05,0.5333333333333333,0.53,0.53,0.5033333333333333,0.673749999999981,0.6858232723197406,8.08775782585144
falsification,sectoral,bloch,VQC,spherical,1,2,6,36,300,,,2002,0.05,0.6633333333333333,0.57,0.5644257703081232,0.5133333333333333,0.673749999999981,0.6920949715329829,8.224709510803223
falsification,sectoral,bloch,VQC,spherical,1,2,6,36,300,,,2000,0.2,0.5766666666666667,0.51,0.5016057808109193,0.53,0.673749999999981,0.6885783807548571,8.412542819976807
falsification,sectoral,bloch,VQC,spherical,1,2,6,36,300,,,2001,0.2,0.5333333333333333,0.53,0.53,0.5033333333333333,0.673749999999981,0.6858232702128707,8.377551317214966
falsification,sectoral,bloch,VQC,spherical,1,2,6,36,300,,,2002,0.2,0.6633333333333333,0.57,0.5644257703081232,0.5133333333333333,0.673749999999981,0.6920949657608413,8.195812463760376
falsification,sectoral,bloch,VQC,spherical,1,2,10,60,300,,,2000,0.05,0.58,0.51,0.5016057808109193,0.53,0.673749999999981,0.688578403764919,12.927419424057007
falsification,sectoral,bloch,VQC,spherical,1,2,10,60,300,,,2001,0.05,0.5333333333333333,0.53,0.53,0.5033333333333333,0.673749999999981,0.6858232734715495,13.456255435943604
falsification,sectoral,bloch,VQC,spherical,1,2,10,60,300,,,2002,0.05,0.66,0.57,0.5644257703081232,0.5133333333333333,0.673749999999981,0.6920949751566648,13.181275844573975
falsification,sectoral,bloch,VQC,spherical,1,2,10,60,300,,,2000,0.2,0.5566666666666666,0.49,0.48514652749899634,0.53,0.673749999999981,0.6888341741342668,13.448582649230957
falsification,sectoral,bloch,VQC,spherical,1,2,10,60,300,,,2001,0.2,0.5333333333333333,0.53,0.53,0.5033333333333333,0.673749999999981,0.6858232857438505,13.40625
falsification,sectoral,bloch,VQC,spherical,1,2,10,60,300,,,2002,0.2,0.6633333333333333,0.57,0.5644257703081232,0.5133333333333333,0.673749999999981,0.6920949943625457,13.415650367736816
falsification-control,sectoral,,BestAffine,,,,,4,300,,,3000,,0.7266666666666667,0.59,0.5758731433159374,0.53,0.673749999999981,,
falsification-control,sectoral,,LogisticOnCartesian,,,,,4,300,,,3000,,0.5733333333333334,0.52,0.5122440786832597,0.53,0.673749999999981,,
falsification-control,sectoral,,LogisticOnSinCos,,,,,5,300,,,3000,,0.5866666666666667,0.54,0.5274989963869932,0.53,0.673749999999981,,
falsification-control,sectoral,,HarmonicRegression(L=1),,,,,4,300,,,3000,,0.5733333333333334,0.52,0.5122440786832597,0.53,0.673749999999981,,
falsification-control,sectoral,,HarmonicRegression(L=2),,,,,9,300,,,3000,,0.9766666666666667,0.96,0.9610598153352068,0.53,0.673749999999981,,
falsification-control,sectoral,,Majority,,,,,0,300,,,3000,,0.53,0.53,0.5,0.53,0.673749999999981,,
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,2,12,300,,,2000,0.05,0.98,0.98,0.98,0.5,0.9828999999999539,0.3037200327709153,3.5946414470672607
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,2,12,300,,,2001,0.05,0.9733333333333334,0.99,0.99,0.5,0.9828999999999539,0.32375636223978993,3.1585328578948975
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,2,12,300,,,2002,0.05,0.9833333333333333,0.99,0.99,0.5,0.9828999999999539,0.2967415071761206,3.3065967559814453
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,2,12,300,,,2000,0.2,0.98,0.98,0.98,0.5,0.9828999999999539,0.3037199905487307,3.2111902236938477
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,2,12,300,,,2001,0.2,0.9733333333333334,0.99,0.99,0.5,0.9828999999999539,0.32375569966703277,3.2487270832061768
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,2,12,300,,,2002,0.2,0.9833333333333333,0.99,0.99,0.5,0.9828999999999539,0.29674151921968484,3.318213701248169
depth-inertness,latitude_bands,bloch,VQC,spherical,1,2,4,24,300,,,2000,0.05,0.98,0.98,0.98,0.5,0.9828999999999539,0.30372076894057803,5.901772737503052
